OrderID,OrderDate,CustomerID,Region,Category,SubCategory,Sales,Profit,Discount
ORD-20250147,2025-02-14,CUST-223,West,Technology,Accessories,804.22,-23.08,0.1
ORD-20250148,2025-02-14,CUST-278,Central,Furniture,Tables,255.68,-15.3,0.1
ORD-20250149,2025-02-14,CUST-162,Central,Office Supplies,Paper,700.41,53.26,0.0
ORD-20250150,2025-02-15,CUST-195,East,Furniture,Chairs,1122.43,-58.83,0.0
ORD-20250151,2025-02-15,CUST-151,East,Technology,Laptops,828.84,-23.04,0.05
ORD-20250152,2025-02-15,CUST-195,East,Furniture,Tables,1408.74,182.96,0.05
ORD-20250153,2025-02-16,CUST-231,South,Furniture,Tables,1795.77,-55.43,0.1
ORD-20250154,2025-02-16,CUST-250,Central,Office Supplies,Binders,360.22,-26.36,0.0
ORD-20250155,2025-02-16,CUST-242,South,Office Supplies,Binders,838.18,27.91,0.1
ORD-20250156,2025-02-17,CUST-270,Central,Furniture,Chairs,787.15,-5.88,0.15
ORD-20250157,2025-02-17,CUST-128,West,Technology,Laptops,562.0,65.43,0.0
ORD-20250158,2025-02-17,CUST-135,East,Furniture,Chairs,372.61,-21.24,0.2
ORD-20250159,2025-02-17,CUST-112,Central,Furniture,Chairs,136.93,29.54,0.0
ORD-20250160,2025-02-18,CUST-259,West,Technology,Laptops,1599.07,448.73,0.0
ORD-20250161,2025-02-18,CUST-170,South,Office Supplies,Binders,767.33,162.86,0.05
ORD-20250162,2025-02-18,CUST-286,East,Office Supplies,Appliances,904.47,111.96,0.0
ORD-20250163,2025-02-19,CUST-185,West,Office Supplies,Paper,1652.16,432.01,0.0
ORD-20250164,2025-02-19,CUST-127,Central,Office Supplies,Binders,1401.8,268.96,0.05
ORD-20250165,2025-02-19,CUST-165,Central,Furniture,Tables,252.29,-24.11,0.1
ORD-20250166,2025-02-20,CUST-269,West,Office Supplies,Binders,1026.45,67.25,0.2
ORD-20250167,2025-02-20,CUST-144,Central,Furniture,Furnishings,807.21,207.78,0.1
ORD-20250168,2025-02-20,CUST-161,East,Technology,Printers,1439.04,65.13,0.0
ORD-20250169,2025-02-21,CUST-284,Central,Furniture,Bookcases,1309.13,-111.55,0.1
ORD-20250170,2025-02-21,CUST-233,Central,Furniture,Chairs,1248.92,266.51,0.1
ORD-20250171,2025-02-21,CUST-127,South,Office Supplies,Storage,626.17,148.31,0.15
ORD-20250172,2025-02-21,CUST-127,Central,Technology,Laptops,1452.84,-47.29,0.15
ORD-20250173,2025-02-22,CUST-207,West,Technology,Printers,113.26,14.23,0.15
ORD-20250174,2025-02-22,CUST-143,East,Technology,Printers,304.13,-5.89,0.05
ORD-20250175,2025-02-22,CUST-183,South,Technology,Accessories,617.41,124.77,0.1
ORD-20250176,2025-02-23,CUST-129,West,Office Supplies,Appliances,156.72,2.2,0.0
ORD-20250177,2025-02-23,CUST-289,South,Technology,Laptops,438.29,14.38,0.2
ORD-20250178,2025-02-23,CUST-174,East,Furniture,Furnishings,1497.67,381.74,0.0
ORD-20250179,2025-02-24,CUST-227,Central,Furniture,Bookcases,1707.89,170.88,0.0
ORD-20250180,2025-02-24,CUST-191,Central,Furniture,Tables,562.19,101.92,0.0
ORD-20250181,2025-02-24,CUST-289,South,Office Supplies,Storage,490.84,33.87,0.1
ORD-20250182,2025-02-24,CUST-228,West,Furniture,Furnishings,518.21,13.04,0.05
ORD-20250183,2025-02-25,CUST-220,Central,Office Supplies,Storage,514.34,83.68,0.05
ORD-20250184,2025-02-25,CUST-126,West,Furniture,Bookcases,83.96,-2.94,0.2
ORD-20250185,2025-02-25,CUST-289,East,Furniture,Chairs,1669.91,94.62,0.2
ORD-20250186,2025-02-26,CUST-220,Central,Office Supplies,Appliances,400.38,-4.89,0.0
ORD-20250187,2025-02-26,CUST-215,Central,Technology,Printers,767.61,147.56,0.0
ORD-20250188,2025-02-26,CUST-102,South,Technology,Accessories,37.24,11.04,0.15
ORD-20250189,2025-02-27,CUST-202,West,Office Supplies,Paper,1547.16,492.17,0.2
ORD-20250190,2025-02-27,CUST-297,East,Technology,Printers,1321.46,117.76,0.05
ORD-20250191,2025-02-27,CUST-299,East,Office Supplies,Binders,1705.23,10.34,0.1
ORD-20250192,2025-02-27,CUST-254,West,Furniture,Bookcases,1411.28,121.35,0.0
ORD-20250193,2025-02-28,CUST-236,West,Office Supplies,Appliances,578.4,147.99,0.15
ORD-20250194,2025-02-28,CUST-161,Central,Office Supplies,Binders,461.21,-6.22,0.1
ORD-20250195,2025-02-28,CUST-264,West,Furniture,Furnishings,1261.94,378.43,0.05
ORD-20250196,2025-03-01,CUST-150,South,Office Supplies,Binders,668.12,29.12,0.0
ORD-20250197,2025-03-01,CUST-271,South,Furniture,Bookcases,1027.86,322.79,0.2
ORD-20250198,2025-03-01,CUST-251,Central,Office Supplies,Appliances,31.14,7.85,0.1
ORD-20250199,2025-03-02,CUST-158,South,Technology,Printers,130.16,31.19,0.0
ORD-20250200,2025-03-02,CUST-217,Central,Furniture,Chairs,972.95,32.61,0.1
ORD-20250201,2025-03-02,CUST-259,West,Technology,Accessories,1027.61,-98.97,0.1
ORD-20250202,2025-03-03,CUST-195,East,Furniture,Tables,1357.59,82.13,0.05
ORD-20250203,2025-03-03,CUST-279,West,Technology,Printers,254.9,6.82,0.1
ORD-20250204,2025-03-03,CUST-212,West,Office Supplies,Appliances,933.47,-78.69,0.05
ORD-20250205,2025-03-03,CUST-161,South,Office Supplies,Binders,366.12,41.1,0.2
ORD-20250206,2025-03-04,CUST-285,West,Office Supplies,Storage,185.89,12.88,0.0
ORD-20250207,2025-03-04,CUST-151,South,Technology,Phones,750.68,125.0,0.0
ORD-20250208,2025-03-04,CUST-111,Central,Furniture,Chairs,310.74,50.0,0.0
ORD-20250209,2025-03-05,CUST-138,East,Furniture,Furnishings,414.77,-20.44,0.1
ORD-20250210,2025-03-05,CUST-229,South,Technology,Laptops,585.25,181.62,0.1
ORD-20250211,2025-03-05,CUST-230,West,Furniture,Furnishings,481.71,-10.35,0.15
ORD-20250212,2025-03-06,CUST-212,West,Furniture,Tables,175.91,15.31,0.1
ORD-20250213,2025-03-06,CUST-200,Central,Office Supplies,Paper,180.05,18.91,0.05
ORD-20250214,2025-03-06,CUST-212,East,Furniture,Bookcases,363.98,87.9,0.2
ORD-20250215,2025-03-06,CUST-283,Central,Furniture,Tables,110.0,-6.42,0.0
ORD-20250216,2025-03-07,CUST-180,West,Technology,Phones,1135.09,90.84,0.15
ORD-20250217,2025-03-07,CUST-286,West,Technology,Printers,531.44,87.14,0.05
ORD-20250218,2025-03-07,CUST-212,South,Technology,Laptops,517.95,-4.99,0.1
ORD-20250219,2025-03-08,CUST-101,West,Office Supplies,Storage,610.96,99.91,0.1
ORD-20250220,2025-03-08,CUST-229,East,Technology,Printers,1199.78,345.46,0.1
ORD-20250221,2025-03-08,CUST-153,West,Technology,Printers,1569.73,500.68,0.0
ORD-20250222,2025-03-09,CUST-186,South,Technology,Phones,1371.17,-118.43,0.05
ORD-20250223,2025-03-09,CUST-228,East,Office Supplies,Binders,1315.0,-1.38,0.05
ORD-20250224,2025-03-09,CUST-246,East,Office Supplies,Appliances,882.22,26.76,0.15
ORD-20250225,2025-03-10,CUST-225,East,Office Supplies,Storage,1254.97,84.88,0.05
ORD-20250226,2025-03-10,CUST-229,East,Office Supplies,Binders,1003.92,1.75,0.2
ORD-20250227,2025-03-10,CUST-152,Central,Furniture,Bookcases,404.93,-5.89,0.05
ORD-20250228,2025-03-10,CUST-271,Central,Technology,Printers,391.29,117.74,0.05
ORD-20250229,2025-03-11,CUST-259,West,Office Supplies,Storage,547.58,156.49,0.1
ORD-20250230,2025-03-11,CUST-297,Central,Office Supplies,Paper,1641.23,-131.73,0.05
ORD-20250231,2025-03-11,CUST-259,West,Furniture,Bookcases,994.4,42.06,0.2
ORD-20250232,2025-03-12,CUST-167,South,Office Supplies,Binders,1326.35,93.06,0.1
ORD-20250233,2025-03-12,CUST-282,South,Office Supplies,Storage,636.87,0.25,0.05
ORD-20250234,2025-03-12,CUST-283,West,Furniture,Bookcases,745.73,122.39,0.0
ORD-20250235,2025-03-13,CUST-222,South,Office Supplies,Paper,243.51,41.14,0.05
ORD-20250236,2025-03-13,CUST-244,Central,Office Supplies,Storage,324.91,83.57,0.0
ORD-20250237,2025-03-13,CUST-137,West,Furniture,Bookcases,1492.69,315.2,0.1
ORD-20250238,2025-03-13,CUST-123,East,Office Supplies,Appliances,1061.01,135.68,0.0
ORD-20250239,2025-03-14,CUST-168,West,Technology,Printers,620.81,108.34,0.0
ORD-20250240,2025-03-14,CUST-215,Central,Office Supplies,Binders,1449.08,21.85,0.0
ORD-20250241,2025-03-14,CUST-197,South,Technology,Printers,458.81,68.4,0.0
ORD-20250242,2025-03-15,CUST-297,Central,Furniture,Furnishings,1757.34,185.36,0.0
ORD-20250243,2025-03-15,CUST-238,South,Office Supplies,Appliances,633.78,-27.88,0.15
ORD-20250244,2025-03-15,CUST-243,Central,Furniture,Furnishings,620.41,1.16,0.1
ORD-20250245,2025-03-16,CUST-196,Central,Furniture,Chairs,575.2,12.95,0.1
ORD-20250246,2025-03-16,CUST-223,Central,Technology,Printers,237.36,68.41,0.1
ORD-20250247,2025-03-16,CUST-286,West,Technology,Phones,217.82,-0.71,0.0
ORD-20250248,2025-03-16,CUST-169,West,Office Supplies,Paper,1173.63,25.21,0.15
ORD-20250249,2025-03-17,CUST-192,Central,Technology,Printers,1577.71,86.98,0.0
ORD-20250250,2025-03-17,CUST-102,East,Technology,Accessories,1427.13,255.13,0.0
ORD-20250251,2025-03-17,CUST-247,Central,Furniture,Chairs,271.17,-13.65,0.05
ORD-20250252,2025-03-18,CUST-286,East,Office Supplies,Storage,991.14,297.99,0.0
ORD-20250253,2025-03-18,CUST-263,West,Office Supplies,Storage,207.95,54.8,0.1
ORD-20250254,2025-03-18,CUST-246,Central,Technology,Printers,100.62,14.33,0.0
ORD-20250255,2025-03-19,CUST-189,East,Furniture,Tables,1188.37,217.59,0.1
ORD-20250256,2025-03-19,CUST-294,East,Furniture,Furnishings,972.57,-90.45,0.05
ORD-20250257,2025-03-19,CUST-246,West,Furniture,Tables,166.0,7.03,0.0
ORD-20250258,2025-03-20,CUST-247,South,Office Supplies,Binders,82.19,19.25,0.1
ORD-20250259,2025-03-20,CUST-195,East,Furniture,Furnishings,1781.77,-120.19,0.0
ORD-20250260,2025-03-20,CUST-298,South,Furniture,Furnishings,73.44,1.36,0.05
ORD-20250261,2025-03-20,CUST-151,East,Furniture,Tables,811.26,118.3,0.0
ORD-20250262,2025-03-21,CUST-260,South,Office Supplies,Appliances,918.22,7.06,0.1
ORD-20250263,2025-03-21,CUST-267,South,Furniture,Tables,228.76,66.86,0.1
ORD-20250264,2025-03-21,CUST-227,West,Furniture,Bookcases,320.93,-14.43,0.0
ORD-20250265,2025-03-22,CUST-138,West,Furniture,Furnishings,646.21,151.8,0.2
ORD-20250266,2025-03-22,CUST-181,West,Furniture,Bookcases,1375.78,155.93,0.15
ORD-20250267,2025-03-22,CUST-203,Central,Office Supplies,Paper,922.61,198.49,0.1
ORD-20250268,2025-03-23,CUST-228,East,Furniture,Bookcases,1155.47,35.24,0.1
ORD-20250269,2025-03-23,CUST-110,East,Office Supplies,Storage,1773.61,205.89,0.0
ORD-20250270,2025-03-23,CUST-284,East,Office Supplies,Binders,1387.05,360.45,0.1
ORD-20250271,2025-03-23,CUST-277,West,Furniture,Bookcases,793.16,76.21,0.0
ORD-20250272,2025-03-24,CUST-250,East,Furniture,Furnishings,814.67,41.62,0.0
ORD-20250273,2025-03-24,CUST-258,Central,Office Supplies,Binders,1121.41,140.38,0.2
ORD-20250274,2025-03-24,CUST-141,South,Furniture,Chairs,1204.35,242.43,0.1
ORD-20250275,2025-03-25,CUST-198,West,Furniture,Furnishings,911.27,78.64,0.05
ORD-20250276,2025-03-25,CUST-106,West,Office Supplies,Paper,1167.85,343.73,0.0
ORD-20250277,2025-03-25,CUST-243,West,Technology,Accessories,61.89,1.48,0.1
ORD-20250278,2025-03-26,CUST-189,Central,Technology,Printers,784.73,78.23,0.0
ORD-20250279,2025-03-26,CUST-211,South,Furniture,Furnishings,516.51,112.55,0.0
ORD-20250280,2025-03-26,CUST-159,South,Office Supplies,Paper,249.93,47.34,0.0
ORD-20250281,2025-03-27,CUST-212,South,Technology,Printers,197.19,51.81,0.05
ORD-20250282,2025-03-27,CUST-101,East,Technology,Printers,1093.68,348.51,0.1
ORD-20250283,2025-03-27,CUST-228,Central,Technology,Printers,952.01,75.48,0.0
ORD-20250284,2025-03-27,CUST-147,Central,Technology,Accessories,471.38,-25.13,0.1
ORD-20250285,2025-03-28,CUST-239,East,Technology,Phones,858.29,-74.86,0.0
ORD-20250286,2025-03-28,CUST-296,South,Furniture,Furnishings,896.17,183.97,0.1
ORD-20250287,2025-03-28,CUST-136,East,Furniture,Tables,367.12,98.05,0.2
ORD-20250288,2025-03-29,CUST-259,Central,Technology,Laptops,1180.73,-8.62,0.1
ORD-20250289,2025-03-29,CUST-108,East,Furniture,Tables,1410.04,-47.17,0.15
ORD-20250290,2025-03-29,CUST-198,West,Technology,Laptops,1428.81,-105.55,0.2
ORD-20250291,2025-03-30,CUST-246,Central,Technology,Accessories,1092.4,268.22,0.05
ORD-20250292,2025-03-30,CUST-147,West,Furniture,Furnishings,930.72,28.65,0.1
ORD-20250293,2025-03-30,CUST-230,West,Office Supplies,Paper,128.59,8.84,0.15
ORD-20250294,2025-03-30,CUST-247,West,Technology,Printers,532.34,59.17,0.0
ORD-20250295,2025-03-31,CUST-251,Central,Furniture,Bookcases,186.02,46.98,0.0
ORD-20250296,2025-03-31,CUST-153,East,Technology,Laptops,1735.61,300.87,0.2
ORD-20250297,2025-03-31,CUST-219,West,Office Supplies,Storage,260.44,41.23,0.1
ORD-20250298,2025-04-01,CUST-260,South,Office Supplies,Appliances,290.16,-7.61,0.0
ORD-20250299,2025-04-01,CUST-251,Central,Furniture,Chairs,1603.45,185.26,0.05
ORD-20250300,2025-04-01,CUST-215,West,Technology,Accessories,1700.19,340.82,0.1
ORD-20250301,2025-04-02,CUST-174,Central,Office Supplies,Paper,1383.18,427.08,0.05
ORD-20250302,2025-04-02,CUST-212,Central,Technology,Accessories,29.62,-0.46,0.1
ORD-20250303,2025-04-02,CUST-299,South,Technology,Phones,22.4,-2.15,0.1
